s_adj,sex,age,unit,geo\time	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
NSA,T,TOTAL,PC,AT	4.3 	4.2 	4.7 	4.7 	4.7 	4.2 	3.9 	4.0 	4.4 	4.8 i	5.5 	5.6 	5.3 	4.9 	4.1 	5.3 	4.8 	4.6 	4.9 	5.4 	5.6 	: 
NSA,T,TOTAL,PC,BE	9.8 	9.7 	9.5 	9.2 	9.3 	8.5 	6.9 	6.6 	7.5 	8.2 	8.4 	8.5 	8.3 	7.5 	7.0 	7.9 	8.3 	7.2 	7.6 	8.4 	8.5 	8.3 
NSA,T,TOTAL,PC,BG	: 	: 	: 	: 	: 	: 	16.4 	19.5 	18.2 	13.7 	12.1 	10.1 	9.0 	6.9 	5.6 	6.8 	10.3 i	11.3 	12.3 	13.0 	11.4 	9.4 
NSA,T,TOTAL,PC,CY	: 	: 	: 	: 	: 	: 	4.8 	3.9 	3.5 	4.1 	4.6 i	5.3 	4.6 	3.9 	3.7 	5.4 	6.3 	7.9 	11.9 	15.9 	16.1 	15.6 
NSA,T,TOTAL,PC,CZ	4.3 	4.0 	3.9 	4.8 	6.5 	8.7 	8.8 	8.1 	7.3 	7.8 	8.3 	7.9 	7.1 	5.3 	4.4 	6.7 	7.3 	6.7 	7.0 	7.0 	6.1 	5.1 
NSA,T,TOTAL,PC,DE	8.4 	8.2 	8.9 	9.6 	9.4 	8.6 	7.9 	7.8 	8.6 	9.7 	10.4 	11.2 i	10.1 	8.5 	7.4 	7.6 	7.0 	5.8 	5.4 	5.2 	5.0 	4.6 
NSA,T,TOTAL,PC,DK	7.7 	6.7 	6.3 	5.2 	4.9 	5.2 	4.3 	4.5 	4.6 	5.4 	5.5 	4.8 	3.9 i	3.8 	3.4 	6.0 	7.5 	7.6 	7.5 	7.0 	6.6 	6.1 
NSA,T,TOTAL,PC,EE	: 	: 	: 	: 	: 	: 	14.6 	13.0 	11.2 	10.3 	10.1 	8.0 	5.9 	4.6 	5.5 i	13.5 	16.7 	12.3 	10.0 	8.6 	7.4 	: 
NSA,T,TOTAL,PC,EL	: 	: 	: 	: 	11.1 	12.0 	11.2 	10.7 	10.3 	9.7 i	10.6 	10.0 	9.0 	8.4 	7.8 	9.6 	12.7 	17.9 	24.5 	27.5 	26.5 	: 
NSA,T,TOTAL,PC,ES	22.0 	20.7 i	19.9 	18.4 	16.4 	13.6 	11.9 	10.6 	11.5 	11.5 	11.0 	9.2 	8.5 	8.2 	11.3 	17.9 	19.9 	21.4 	24.8 	26.1 	24.5 	22.1 
NSA,T,TOTAL,PC,FI	16.6 	15.4 	14.6 	12.7 	11.4 	10.2 	9.8 	9.1 	9.1 	9.0 	8.8 	8.4 	7.7 	6.9 	6.4 	8.2 	8.4 	7.8 	7.7 	8.2 	8.7 	9.4 
NSA,T,TOTAL,PC,FR	10.4 	10.2 i	10.5 	10.7 	10.3 	10.0 	8.6 	7.8 	7.9 	8.5 	8.9 	8.9 	8.8 	8.0 	7.4 	9.1 	9.3 	9.2 	9.8 	10.3 	10.3 	10.4 
NSA,T,TOTAL,PC,HR	: 	: 	: 	: 	: 	: 	15.8 	15.9 	15.1 	14.2 	13.9 	13.0 	11.6 i	9.9 	8.6 	9.2 	11.7 	13.7 	16.0 	17.3 	17.3 	16.6 
NSA,T,TOTAL,PC,HU	: 	: 	9.9 	9.1 	8.7 	6.9 	6.3 	5.6 	5.6 	5.8 	6.1 	7.2 	7.5 	7.4 	7.8 i	10.0 	11.2 	11.0 	11.0 	10.2 	7.7 	: 
NSA,T,TOTAL,PC,IE	14.3 	12.3 	11.7 	9.9 	7.5 	5.7 	4.3 	3.9 	4.5 	4.6 	4.5 	4.4 	4.5 	4.7 	6.4 	12.0 	13.9 	14.7 	14.7 	13.1 	11.3 	9.4 
NSA,T,TOTAL,PC,IT	10.6 	11.2 	11.2 	11.2 	11.3 	10.9 	10.0 	9.0 	8.5 	8.4 	8.0 	7.7 	6.8 	6.1 	6.7 	7.7 	8.4 	8.4 	10.7 	12.1 	12.7 	: 
